,Regime_0,Regime_1,Regime_2
2014-10-20,0.0003345202160417143,0.9996272614462446,3.821833767833367e-05
2014-10-21,0.09232112004147212,0.0016554256761435312,0.9060234542823287
2014-10-22,6.978445849780518e-06,0.09232486076174576,0.9076681607924325
2014-10-27,0.00014635680895181978,3.803330311331473e-05,0.9998156098879127
2014-10-28,3.480519456816764e-06,0.00014646337142001464,0.9998500561091436
2014-10-29,4.336514502241787e-06,4.525399916840221e-06,0.9999911380855788
2014-10-30,1.8159329736168337e-06,4.717142456542052e-06,0.9999934669245606
2014-10-31,1.0038558335074647e-06,2.135352024606115e-06,0.9999968607921051
2014-11-03,7.871154213191994e-07,1.1307369800242553e-06,0.999998082147633
2014-11-05,1.6687547229785552e-06,9.177676149714669e-07,0.9999974134776066
2014-11-07,2.1882497957850276e-06,1.994414016522061e-06,0.9999958173361781
2014-11-10,6.66968436710515e-07,2.3807565678358524e-06,0.999996952275052
2014-11-11,4.2904811098892396e-07,7.264676780737577e-07,0.9999988444842384
2014-11-12,2.5216862074382345e-06,5.560033706837142e-07,0.9999969223104767
2014-11-13,1.35941068561498e-06,2.8342434497859935e-06,0.9999958063458902
2014-11-14,5.949443911907391e-06,1.472972428259275e-06,0.9999925775836459
2014-11-17,5.901962307997592e-06,6.807582799006214e-06,0.9999872904549458
2014-11-18,1.1392807750836334e-06,6.047063593319155e-06,0.9999928136555959
2014-11-19,2.1805693349903426e-05,1.2713400876528213e-06,0.9999769229665633
2014-11-20,0.0005780968770564079,2.8657288720632695e-05,0.9993932458341744
2014-11-21,4.598229333821128e-31,1.0,1.9279047041311173e-145
2014-11-24,0.0001040507840463947,0.0001330389217354623,0.9997629102941801
2014-11-25,1.868741767707455e-08,2.1291516329581666e-05,0.999978689796227
2014-11-26,1.1961660987681688e-08,3.3991400540132246e-07,0.9999996481242925
2014-11-27,1.1190238700092958e-08,3.464264476069143e-07,0.9999996423833366
2014-11-28,4.9008861531734665e-09,1.250156226964158e-07,0.9999998700834651
2014-12-01,5.39315463371105e-08,4.2534033483132685e-07,0.9999995207281256
2014-12-02,1.7376488390441132e-07,4.4682807944014695e-06,0.999995357954364
2014-12-03,3.5477696847847354e-08,1.099136562903796e-06,0.999998865385767
2014-12-04,1.1364593832755468e-08,2.708051754077231e-07,0.9999997178302181
2014-12-05,1.9309364501683296e-07,8.444072260096609e-07,0.9999989624991183
2014-12-08,2.5980451603641803e-07,7.914293576187534e-06,0.9999918259019138
2014-12-09,6.506007107486073e-08,8.771503495129912e-07,0.9999990577896261
2014-12-10,2.1657615261734828e-07,1.984164140715851e-06,0.9999977992596656
2014-12-11,3.076400207884447e-07,3.5399893408819916e-06,0.9999961523706259
2014-12-12,1.8222725033511044e-07,3.1300809586518084e-06,0.9999966876918339
2014-12-15,7.098938029835688e-07,2.0180482307374445e-06,0.9999972720579227
2014-12-16,2.345972170092451e-06,1.2651880797664439e-05,0.9999850021470464
2014-12-17,9.110412933847813e-06,8.642846248875499e-06,0.9999822467408631
